arrondissement,nb_accident,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Bus,VL,Moto,Scoot,Poids_lourd,Cyclo,Bicy,VU,Bicy_0,Bicy_1,Bicy_10,Bicy_11,Bicy_12,Bicy_13,Bicy_14,Bicy_15,Bicy_16,Bicy_17,Bicy_18,Bicy_19,Bicy_2,Bicy_20,Bicy_21,Bicy_22,Bicy_23,Bicy_3,Bicy_4,Bicy_5,Bicy_6,Bicy_7,Bicy_8,Bicy_9,Bus_0,Bus_1,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19,Bus_2,Bus_20,Bus_21,Bus_22,Bus_23,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Cyclo_0,Cyclo_1,Cyclo_10,Cyclo_11,Cyclo_12,Cyclo_13,Cyclo_14,Cyclo_15,Cyclo_16,Cyclo_17,Cyclo_18,Cyclo_19,Cyclo_2,Cyclo_20,Cyclo_21,Cyclo_22,Cyclo_23,Cyclo_3,Cyclo_4,Cyclo_5,Cyclo_6,Cyclo_7,Cyclo_8,Cyclo_9,Moto_0,Moto_1,Moto_10,Moto_11,Moto_12,Moto_13,Moto_14,Moto_15,Moto_16,Moto_17,Moto_18,Moto_19,Moto_2,Moto_20,Moto_21,Moto_22,Moto_23,Moto_3,Moto_4,Moto_5,Moto_6,Moto_7,Moto_8,Moto_9,Poids_lourd_0,Poids_lourd_1,Poids_lourd_10,Poids_lourd_11,Poids_lourd_12,Poids_lourd_13,Poids_lourd_14,Poids_lourd_15,Poids_lourd_16,Poids_lourd_17,Poids_lourd_18,Poids_lourd_19,Poids_lourd_2,Poids_lourd_20,Poids_lourd_21,Poids_lourd_22,Poids_lourd_23,Poids_lourd_3,Poids_lourd_4,Poids_lourd_5,Poids_lourd_6,Poids_lourd_7,Poids_lourd_8,Poids_lourd_9,Scoot_0,Scoot_1,Scoot_10,Scoot_11,Scoot_12,Scoot_13,Scoot_14,Scoot_15,Scoot_16,Scoot_17,Scoot_18,Scoot_19,Scoot_2,Scoot_20,Scoot_21,Scoot_22,Scoot_23,Scoot_3,Scoot_4,Scoot_5,Scoot_6,Scoot_7,Scoot_8,Scoot_9,VL_0,VL_1,VL_10,VL_11,VL_12,VL_13,VL_14,VL_15,VL_16,VL_17,VL_18,VL_19,VL_2,VL_20,VL_21,VL_22,VL_23,VL_3,VL_4,VL_5,VL_6,VL_7,VL_8,VL_9,VU_0,VU_1,VU_10,VU_11,VU_12,VU_13,VU_14,VU_15,VU_16,VU_17,VU_18,VU_19,VU_2,VU_20,VU_21,VU_22,VU_23,VU_3,VU_4,VU_5,VU_6,VU_7,VU_8,VU_9
1,368,15,6,5,4,5,3,5,7,15,17,21,20,19,23,31,39,23,25,26,23,13,10,8,5,6,156,47,80,10,18,22,27,1,0,0,2,2,2,2,3,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,1,1,1,0,1,0,0,2,0,2,0,1,0,1,1,0,0,3,1,3,2,3,2,2,5,2,2,6,3,0,0,2,2,1,0,0,0,1,1,4,2,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,2,5,7,4,5,6,7,6,3,3,8,1,4,2,4,0,1,0,1,0,0,4,4,7,2,5,5,8,12,13,21,9,14,15,5,4,6,4,1,1,3,4,1,3,2,2,9,1,0,4,3,1,0,2,1,1,3,2,1,0,1,0,1,0,0,0,0,0,2,4,0
2,223,5,9,5,2,3,1,3,4,6,14,13,14,12,10,12,15,14,17,17,16,15,8,4,4,3,84,16,52,3,14,20,30,0,1,0,2,1,0,1,1,3,1,1,4,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,2,1,1,0,1,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,4,5,2,3,3,7,1,4,2,4,3,0,0,1,0,1,1,0,2,1,2,4,3,5,3,1,5,4,5,5,13,4,2,10,0,2,3,1,2,0,2,1,2,5,0,0,6,4,1,2,3,0,1,4,1,1,0,0,2,0,0,0,1,0,0,1,1,2
3,246,3,5,7,1,4,4,4,2,14,17,14,13,17,14,18,12,18,15,20,13,9,8,7,7,6,87,26,54,3,24,34,12,1,0,2,2,0,2,2,2,1,1,6,4,0,2,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,3,2,4,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,2,4,4,2,2,1,2,0,2,2,0,1,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,1,5,2,6,2,3,5,1,3,3,1,2,0,0,0,1,1,2,4,2,3,1,1,8,6,5,4,7,4,6,1,5,1,3,6,3,0,3,2,2,1,6,7,0,0,0,1,0,1,2,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,1
4,338,14,9,14,7,0,6,6,7,22,19,18,12,14,10,18,24,22,23,21,17,19,16,11,9,6,126,31,91,7,16,38,23,3,1,0,0,1,1,1,6,0,4,4,2,1,4,2,2,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0,2,2,1,0,1,0,0,1,0,0,2,2,0,3,0,2,2,2,1,2,1,3,2,3,2,0,2,0,1,0,0,0,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,5,5,3,4,4,8,5,8,6,6,4,2,5,4,0,2,2,0,1,0,1,7,4,4,2,6,6,4,3,6,9,5,8,7,9,6,6,8,6,7,2,0,5,4,3,4,6,0,0,2,1,3,0,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,1,5,4
5,365,7,7,10,6,3,4,8,9,13,32,16,22,21,23,21,22,19,24,19,29,16,14,11,9,8,144,48,82,7,13,32,26,1,1,1,3,2,1,2,2,0,1,3,1,2,1,1,0,1,0,0,0,1,0,0,8,0,0,0,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,2,0,2,2,2,6,6,6,6,0,0,1,2,1,1,0,1,1,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,3,3,3,5,6,2,9,3,6,2,5,2,5,5,2,1,3,1,1,1,1,2,9,2,3,11,6,6,9,11,8,8,9,4,15,6,9,5,7,5,2,1,2,4,3,4,4,1,0,0,5,2,1,4,1,1,0,2,1,0,1,0,0,1,0,1,0,0,1,1,3
6,353,10,8,9,2,4,2,8,6,18,18,17,16,25,28,20,23,33,24,21,19,16,13,8,5,11,137,42,69,2,26,32,33,0,0,2,0,2,2,2,5,8,3,4,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,3,2,1,2,1,1,2,4,0,1,0,0,0,0,0,0,3,4,1,3,0,2,1,3,3,4,2,1,5,0,2,2,0,1,0,2,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,2,4,2,3,4,8,4,3,3,3,4,3,2,2,2,1,1,1,3,7,0,3,3,5,5,12,17,7,5,9,10,10,8,5,7,4,4,1,0,1,1,5,1,7,7,1,0,3,5,2,5,1,3,2,3,1,0,0,0,0,2,0,0,0,0,0,0,1,4
7,442,14,9,6,10,8,2,3,8,22,39,18,21,22,26,18,35,33,33,27,28,23,7,13,17,4,214,32,106,5,28,29,20,0,1,0,1,2,1,0,2,2,3,2,6,0,0,1,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,0,0,4,3,3,0,2,3,1,0,0,0,2,0,0,1,0,3,1,1,1,2,0,3,1,0,5,2,2,3,0,3,0,0,1,0,0,0,0,0,2,5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,5,7,8,4,9,8,6,5,6,2,6,1,1,3,2,2,2,0,0,8,10,11,3,9,6,11,12,10,21,13,17,14,12,2,10,4,8,11,7,3,0,2,4,8,16,0,0,1,3,0,0,2,1,1,0,1,0,0,1,0,1,1,1,0,0,1,2,1,3
8,924,28,22,16,14,16,16,16,20,42,64,58,51,55,58,48,49,44,50,71,66,35,35,18,32,11,442,97,218,11,49,42,49,1,3,2,1,3,3,1,2,7,2,3,2,1,1,1,0,2,1,1,0,0,0,1,4,0,0,1,0,1,2,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,6,2,1,3,2,2,4,5,3,0,2,4,1,1,2,0,0,1,0,2,3,1,2,7,2,6,11,4,7,2,7,9,7,1,7,2,1,1,1,1,1,0,2,7,8,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,5,2,18,13,11,9,10,11,12,12,17,19,4,7,7,4,4,3,8,3,4,4,13,18,17,15,23,22,24,27,24,24,17,22,32,33,9,17,20,12,24,7,5,12,11,9,13,23,1,0,2,6,6,4,5,2,2,1,3,1,1,0,0,0,0,0,1,0,0,4,3,7
9,431,11,11,8,8,4,7,7,11,14,30,19,14,25,29,21,33,28,26,29,23,26,24,9,14,25,173,32,103,5,21,30,36,0,0,1,2,3,2,1,1,1,1,4,3,0,3,1,1,1,1,0,0,0,1,1,2,0,0,0,0,3,2,2,3,0,6,3,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,2,3,1,2,1,2,1,2,2,0,0,0,1,0,0,1,1,0,2,1,2,0,2,1,2,0,6,2,1,1,4,2,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,5,3,4,5,5,4,7,9,4,4,4,4,5,7,2,4,1,1,2,0,2,5,13,5,5,9,3,9,13,9,19,11,10,10,9,2,13,8,1,6,4,2,5,5,3,3,9,1,0,3,4,3,5,3,2,2,2,1,2,0,0,1,0,1,0,0,0,1,2,1,2
10,657,19,16,16,9,10,6,13,16,26,38,26,27,30,27,47,39,34,46,46,35,41,29,27,34,7,257,70,175,9,37,59,41,2,1,4,1,3,1,3,1,4,5,8,4,2,4,2,1,3,0,1,0,1,2,1,5,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,4,1,1,1,0,2,6,2,3,5,0,2,0,2,1,1,2,1,1,3,3,2,4,3,3,6,8,7,1,2,4,3,3,4,1,0,0,3,2,4,2,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,7,5,4,12,8,10,11,6,10,16,14,5,11,9,5,5,5,2,3,2,2,7,12,10,6,8,15,10,10,24,14,15,15,12,13,5,14,12,15,14,3,5,3,5,8,9,12,0,1,5,3,1,2,2,5,1,6,2,2,0,1,1,0,3,0,0,0,0,1,3,2
